Time,Hips.X,Hips.Y,Hips.Z,LeftUpLeg.X,LeftUpLeg.Y,LeftUpLeg.Z,LeftLeg.X,LeftLeg.Y,LeftLeg.Z,LeftFoot.X,LeftFoot.Y,LeftFoot.Z,LeftForeFoot.X,LeftForeFoot.Y,LeftForeFoot.Z,LeftToeBase.X,LeftToeBase.Y,LeftToeBase.Z,LeftToeBaseEnd.X,LeftToeBaseEnd.Y,LeftToeBaseEnd.Z,RightUpLeg.X,RightUpLeg.Y,RightUpLeg.Z,RightLeg.X,RightLeg.Y,RightLeg.Z,RightFoot.X,RightFoot.Y,RightFoot.Z,RightForeFoot.X,RightForeFoot.Y,RightForeFoot.Z,RightToeBase.X,RightToeBase.Y,RightToeBase.Z,RightToeBaseEnd.X,RightToeBaseEnd.Y,RightToeBaseEnd.Z,Spine.X,Spine.Y,Spine.Z,Spine1.X,Spine1.Y,Spine1.Z,Spine2.X,Spine2.Y,Spine2.Z,Spine3.X,Spine3.Y,Spine3.Z,LeftShoulder.X,LeftShoulder.Y,LeftShoulder.Z,LeftArm.X,LeftArm.Y,LeftArm.Z,LeftForeArm.X,LeftForeArm.Y,LeftForeArm.Z,LeftHand.X,LeftHand.Y,LeftHand.Z,LeftHandMiddle1.X,LeftHandMiddle1.Y,LeftHandMiddle1.Z,LeftHandMiddle1End.X,LeftHandMiddle1End.Y,LeftHandMiddle1End.Z,LeftHandThumb1.X,LeftHandThumb1.Y,LeftHandThumb1.Z,LeftHandThumb1End.X,LeftHandThumb1End.Y,LeftHandThumb1End.Z,RightShoulder.X,RightShoulder.Y,RightShoulder.Z,RightArm.X,RightArm.Y,RightArm.Z,RightForeArm.X,RightForeArm.Y,RightForeArm.Z,RightHand.X,RightHand.Y,RightHand.Z,RightHandMiddle1.X,RightHandMiddle1.Y,RightHandMiddle1.Z,RightHandMiddle1End.X,RightHandMiddle1End.Y,RightHandMiddle1End.Z,RightHandThumb1.X,RightHandThumb1.Y,RightHandThumb1.Z,RightHandThumb1End.X,RightHandThumb1End.Y,RightHandThumb1End.Z,Neck.X,Neck.Y,Neck.Z,Neck1.X,Neck1.Y,Neck1.Z,Head.X,Head.Y,Head.Z,HeadEnd.X,HeadEnd.Y,HeadEnd.Z
0.0,-14.8794,-120.522,88.5501,-24.248090036055906,-116.6318395264051,88.41088240776894,-25.274313210161058,-121.53959415593887,43.63160926378837,-26.141846578474887,-126.17381461361082,6.874144436020984,-26.051898991440723,-126.4367853429855,3.4880513809678786,-27.366088685287473,-113.23873564855327,2.428154653977727,-27.797446934853713,-108.75552082157665,1.2635984993384697,-5.510709963944093,-124.41216047359491,88.68931759223106,-5.65785034689246,-125.5658521464988,43.64522987761996,-6.021026887252187,-127.07998357786369,6.619355914010605,-5.704623443718901,-127.46761753200055,3.258924523709576,-1.3864792508157917,-114.92526614596323,2.218711180945088,0.019923760589053652,-111.11157097680734,1.1980145419928372,-16.56615442810717,-124.18479701300342,99.71112653545785,-16.984250010823736,-125.34840655865938,109.06652387985062,-16.834045811461394,-125.50313605847012,118.50080965265198,-16.519768468897578,-124.94697899370972,127.91591292525436,-14.437861867691604,-119.42960965902795,136.16899641780236,-32.317103490888464,-120.45605091953821,142.74483021725828,-56.33192203565558,-111.12452319044533,133.9960725052697,-75.56900654197932,-103.8401816232185,126.9780425738338,-85.83299535707314,-104.29894821618886,128.27850778742135,-85.83299535707314,-104.29894821618886,128.27850778742135,-79.8336485040115,-100.59302759397437,125.24287826849041,-79.8336485040115,-100.59302759397437,125.24287826849041,-14.437861867691604,-119.42960965902795,136.16899641780236,-0.7088916546964015,-131.19805635685694,142.2502374137709,26.448291521565316,-132.43918935994157,141.12033839190153,47.784604199285596,-136.32370223971404,139.68781701494603,57.98540866767255,-136.97677227981387,141.35161708569032,57.98540866767255,-136.97677227981387,141.35161708569032,52.189141068891004,-133.27869084152613,137.9356937117244,52.189141068891004,-133.27869084152613,137.9356937117244,-15.757736523805995,-122.98268082626203,139.92601808357924,-14.75321617685387,-122.79444311341857,146.2156155591036,-14.47607197443126,-122.35758937387156,152.5666690834732,-16.59088777435812,-122.63013042309034,162.05818192365155
0.00833333,-14.8891,-120.52,88.5536,-24.26408117242086,-116.64497594967139,88.41576072356055,-25.284865272251555,-121.55249604738637,43.63633755708757,-26.14608397088022,-126.17431816043992,6.877163237355887,-26.05654643832687,-126.4378548159437,3.4911033129200915,-27.370156307491712,-113.23991086026665,2.4291730824244944,-27.801492835902472,-108.75639911020627,1.265752544558181,-5.514118827579139,-124.3950240503286,88.69143927643945,-5.661509074451028,-125.55484700647418,43.64750983377731,-6.0253092687409575,-127.07886550220236,6.622047635402083,-5.708218544758851,-127.46735709656107,3.261780071014221,-1.3927642341883626,-114.92430444996955,2.2188631240753525,0.012931479910540666,-111.110462048808,1.1977423667864469,-16.568533336530475,-124.18609992674621,99.7146461328525,-16.982302015725793,-125.35175273757825,109.06998148585916,-16.829623378550295,-125.50955313004118,118.50417667317582,-16.51407837232174,-124.95777727777299,127.91949532526604,-14.433570638894128,-119.44394114319661,136.1752923951187,-32.31461288644516,-120.4732268589482,142.7457833886933,-56.31656173999488,-111.08499178841703,134.02241394265744,-75.53780154959355,-103.73632959995571,127.02806617379592,-85.797587843629,-104.1528639212291,128.37507297217203,-85.797587843629,-104.1528639212291,128.37507297217203,-79.79698185058206,-100.47234705139964,125.3111571468254,-79.79698185058206,-100.47234705139964,125.3111571468254,-14.433570638894128,-119.44394114319661,136.1752923951187,-0.7027021015536015,-131.21671820214084,142.24385255142175,26.455535525918638,-132.49246095874383,141.179761207257,47.793467736343686,-136.38866519105176,139.80424746561314,57.988320953315124,-137.04857425616476,141.5014896007067,57.988320953315124,-137.04857425616476,141.5014896007067,52.20612550570723,-133.34885797982136,138.06355822007643,52.20612550570723,-133.34885797982136,138.06355822007643,-15.750698549918726,-122.99988402024347,139.9305606872091,-14.759096297682676,-122.81082364502232,146.2221830627162,-14.495954921260374,-122.3635972298402,152.57311024838586,-16.62535912259613,-122.63167351878656,162.06148805162695
0.01666666,-14.8985,-120.516,88.557,-24.279813601758008,-116.65628289398497,88.4205375252858,-25.295044707589028,-121.56351745260406,43.64095682606031,-26.149902075662,-126.17289377077805,6.880071325331308,-26.060769568747883,-126.436990883419,3.4940443818906743,-27.374023656555895,-113.23917408513925,2.430095689565505,-27.805413868435878,-108.75537182879982,1.2678151843777108,-5.517186398241995,-124.37571710601505,88.69346247471421,-5.664748736739289,-125.54161572395738,43.64969044595381,-6.029076385574269,-127.07548509141108,6.624640221978673,-5.71128554291933,-127.46482321405057,3.2645367775912515,-1.398734355730464,-114.92099491108124,2.218943585426474,0.00619031632332967,-111.10697970374322,1.1974072098877018,-16.570551540280544,-124.18543320681566,99.71805906138678,-16.97997482346069,-125.35313859578581,109.07332962199914,-16.824816040446862,-125.5140128653484,118.50743242957688,-16.50800628110854,-124.96662011929018,127.92296445493002,-14.428984417847555,-119.45629109652504,136.18147695775733,-32.311806658733765,-120.48869313910072,142.7466325205259,-56.30087314244587,-111.04413775713286,134.04865897049817,-75.50612861347804,-103.6314969281338,127.07795493699875,-85.76132532323372,-104.00594187575315,128.47146646560793,-85.76132532323372,-104.00594187575315,128.47146646560793,-79.75973587034119,-100.35073469816328,125.37930841247989,-79.75973587034119,-100.35073469816328,125.37930841247989,-14.428984417847555,-119.45629109652504,136.18147695775733,-0.6960161011650499,-131.23316011699168,142.2373328120332,26.463091677397394,-132.54311241177666,141.23904895569927,47.8025427726538,-136.450686372949,139.92053115865278,57.991346204971485,-137.11725470143176,141.65117099293465,57.991346204971485,-137.11725470143176,141.65117099293465,52.22323297615803,-133.41602306838524,138.19128500119692,52.22323297615803,-133.41602306838524,138.19128500119692,-15.743302284124809,-123.015128524679,139.93498735880257,-14.764634146979649,-122.82528519131735,146.22861104903183,-14.515655219551409,-122.36774450523465,152.57937454505148,-16.65988368615936,-122.6314353087461,162.06453621628995
0.02499999,-14.907,-120.514,88.5604,-24.29455244217047,-116.66943316605547,88.42531467573043,-25.304326017696635,-121.57636401773885,43.645577296498665,-26.152968759993,-126.17327343424634,6.882986755673443,-26.06424701069882,-126.43793534772425,3.4969931240851624,-27.376888931433438,-113.24022133804151,2.4310158886087407,-27.8082453229958,-108.75612133067091,1.2698720779817985,-5.5194475578295314,-124.35856683394452,88.69548532426957,-5.66717644004151,-125.53053477359644,43.651871346972094,-6.032014695704895,-127.07425077074753,6.627235387555231,-5.713526058812663,-127.46443912904786,3.267296640551438,-1.4036542854421352,-114.91991237249643,2.219038508568203,0.000568149052280642,-111.10574912904507,1.1970893859269816,-16.571727782825313,-124.18672124439048,99.72147234339481,-16.97682012038571,-125.35645980677606,109.07667744302881,-16.819172113873286,-125.52040048909123,118.51068619441466,-16.501072295439858,-124.97738803728478,127.92642836087163,-14.423422373755699,-119.47059889635777,136.18764684041167,-32.308032758061884,-120.5057850571046,142.74749088232042,-56.28391155100701,-111.00450650122743,134.07496974313415,-75.472814250862,-103.52759719796342,127.12791015390778,-85.72304585736106,-103.85974834313407,128.56789994027352,-85.72304585736106,-103.85974834313407,128.56789994027352,-79.72062786137728,-100.22996507814246,125.44753000252945,-79.72062786137728,-100.22996507814246,125.44753000252945,-14.423422373755699,-119.47059889635777,136.18764684041167,-0.688559377705678,-131.25179206798833,142.23078168686857,26.471193148715358,-132.59636671438633,141.29823532135637,47.811941026904314,-136.51563416235842,140.036641424399,57.994577697021796,-137.18899602849436,141.80062475667873,57.994577697021796,-137.18899602849436,141.80062475667873,52.24066682053175,-133.4861879130314,138.31884667886115,52.24066682053175,-133.4861879130314,138.31884667886115,-15.734987875612678,-123.03230129928765,139.93940210317896,-14.76925600553412,-122.8417388427622,146.23500206453113,-14.534572881777834,-122.37394094364701,152.58556266380955,-16.69390094995889,-122.63325602572438,162.06741894138372
0.03333332,-14.9145,-120.513,88.5633,-24.31096326973214,-116.69018929772601,88.43033611334587,-25.312383084103644,-121.58557661607009,43.64914771722601,-26.1528233289586,-126.17134799367803,6.884977727586097,-26.064217567467445,-126.43651596060361,3.4990206518470797,-27.378465372296752,-113.23911991629971,2.431087265678668,-27.810451280141923,-108.75496354592273,1.2703952380370778,-5.518036730267857,-124.335810702274,88.69626388665412,-5.667410182564562,-125.51877740211985,43.65294284824928,-6.032104502307615,-127.07107185955051,6.6286641391295476,-5.712677559080615,-127.46195677850109,3.2688954330312177,-1.407282959998298,-114.91606289868088,2.218602396549217,-0.004291968127908996,-111.10136590919919,1.1969541901347627,-16.568061911079326,-124.18923415734527,99.7248756598697,-16.96608276138841,-125.36008998803963,109.08024452426773,-16.804094413479362,-125.52676743965286,118.51413179117766,-16.483339082159542,-124.98848903600053,127.9300556938062,-14.408637192049929,-119.484715430361,136.1940241576522,-32.2943037432805,-120.54063916657479,142.74768038311078,-56.26643117796158,-110.99873315534566,134.10946199456097,-75.44321958913004,-103.46100999197981,127.19474491895096,-85.68626484216533,-103.75588613711328,128.69281533059734,-85.68626484216533,-103.75588613711328,128.69281533059734,-79.68820373226407,-100.1465656434504,125.54049469436517,-79.68820373226407,-100.1465656434504,125.54049469436517,-14.408637192049929,-119.484715430361,136.1940241576522,-0.6639166493052979,-131.26365478197772,142.21911318544164,26.495892507670114,-132.65815611464623,141.36482190615814,47.84086012926976,-136.57609047151354,140.1723689309253,58.01269410670901,-137.25151116970196,141.99685334325085,58.01269410670901,-137.25151116970196,141.99685334325085,52.27998732010151,-133.5455525595108,138.4835926674634,52.27998732010151,-133.5455525595108,138.4835926674634,-15.714616323661085,-123.05035803335248,139.9439850854391,-14.762957354599088,-122.85559687263208,146.241599257884,-14.545636313611473,-122.3743302437007,152.59177130005114,-16.71599457748639,-122.64060785420688,162.07091586730894
0.04166665,-14.9213,-120.512,88.5661,-24.326667755397164,-116.71107621430073,88.43526116386586,-25.31975503854324,-121.59492373703796,43.652627210147735,-26.152010330708734,-126.16955636873016,6.886883352941204,-26.063520585292917,-126.43523057552486,3.5009629269417615,-27.379550255234832,-113.23817084090632,2.4310696478046263,-27.81222625403138,-108.75396441724364,1.270828124824314,-5.515932244602837,-124.31292378569927,88.69693883613415,-5.6669078841571805,-125.50690897239089,43.65391386511092,-6.03141900333318,-127.06779672919248,6.6299946369327145,-5.711046507522205,-127.45937324091761,3.2703964987928242,-1.4102749889486823,-114.91206389575628,2.2180734011399013,-0.008559903375374711,-111.09681710038008,1.1967269311563284,-16.563640710737083,-124.19173305171137,99.72817944078515,-16.954567890238977,-125.36368407052811,109.08371028154032,-16.788218935681233,-125.53307674814589,118.51747330106689,-16.464787752432944,-124.99951252476211,127.93357398296953,-14.393073203704779,-119.49872335939764,136.20027852548205,-32.27975873928546,-120.57554466976089,142.74775049997695,-56.248158456202844,-110.99334429279921,134.14385998778246,-75.41269986204462,-103.39511912853789,127.26148223391263,-85.64808512856409,-103.65289743403159,128.81762546192246,-85.64808512856409,-103.65289743403159,128.81762546192246,-79.6546786648501,-100.06391716611647,125.63338984015587,-79.6546786648501,-100.06391716611647,125.63338984015587,-14.393073203704779,-119.49872335939764,136.20027852548205,-0.6383523070878816,-131.27521695733535,142.2072997867981,26.52120536954071,-132.71943574117998,141.43119417911618,47.87019698141398,-136.63589075267342,140.30792493752162,58.03087132755763,-137.31333279405544,142.19284192962886,58.03087132755763,-137.31333279405544,142.19284192962886,52.31953011790905,-133.60427137485044,138.64819781868695,52.31953011790905,-133.60427137485044,138.64819781868695,-15.693412071433524,-123.06830803226248,139.9484487079474,-14.755865431692184,-122.86944791370296,146.24805122871456,-14.556266043712865,-122.37487007008235,152.59778223160106,-16.738103293539517,-122.64817283976046,162.07409123340946
0.04999998,-14.934,-120.518,88.5688,-24.348133815307207,-116.73876711834284,88.44008957427361,-25.333077044078202,-121.61104562430498,43.65601559918245,-26.15732387465767,-126.17451240436196,6.888703730219341,-26.068958251041362,-126.44069633947377,3.502820096712234,-27.386443582458373,-113.24394123242823,2.4309626406255864,-27.819699098280477,-108.75967480214241,1.271169382401757,-5.519866184692791,-124.29723288165717,88.69751042572638,-5.6724420500875,-125.5022516382517,43.65478467326381,-6.036784571703377,-127.07173656263136,6.631227232641123,-5.715473626929126,-127.46401130759524,3.2718001755922885,-1.4190370964087498,-114.91538716569484,2.217448884738811,-0.018510611501645347,-111.09962297776053,1.1964047477634419,-16.565192325185677,-124.20116067403131,99.73138369876456,-16.94904758108996,-125.37416952186403,109.0870747981928,-16.778326576923078,-125.54626002955807,118.5207108818245,-16.452184263316553,-125.01740121240367,127.93698350453957,-14.383306979500649,-119.51963775964448,136.20641095802242,-32.27099238973619,-120.6169270903273,142.74775024208466,-56.235387064998356,-110.99389827038401,134.17834039199536,-75.38731062930172,-103.33479015641825,127.32840001446904,-85.61456399807108,-103.55527293812904,128.94265489797195,-85.61456399807108,-103.55527293812904,128.94265489797195,-79.62599177077861,-99.98672593013703,125.72651873357334,-79.62599177077861,-99.98672593013703,125.72651873357334,-14.383306979500649,-119.51963775964448,136.20641095802242,-0.61885757465663,-131.2939750908389,142.1953479115001,26.54009551145786,-132.78851640556402,141.4972830686582,47.89279452827993,-136.70398372354396,140.44316881069713,58.041937268937865,-137.38372432309367,142.38841874374484,58.041937268937865,-137.38372432309367,142.38841874374484,52.35222565716954,-133.67142045214842,138.8125218433332,52.35222565716954,-133.67142045214842,138.8125218433332,-15.678078089426132,-123.09312080351738,139.9527935242395,-14.754678209656902,-122.89029432317523,146.2543588098661,-14.573146587817826,-122.38258106256855,152.60359533746345,-16.766916943872594,-122.66290589674215,162.0769437475369
0.05833331,-14.9414,-120.52,88.5712,-24.364293312549037,-116.76258837440712,88.44461984287366,-25.341077758210755,-121.62323310201619,43.65910301222093,-26.157305152111302,-126.1754771098851,6.8902210426224,-26.069060760181813,-126.44216547693105,3.5043739414414636,-27.388153878629595,-113.24572928626267,2.4305692243343895,-27.822040616573236,-108.76140628101936,1.2712307729396999,-5.5185066874509605,-124.27741162559288,88.69778015712635,-5.6726069906318575,-125.49342135735436,43.65535497553981,-6.036714222575555,-127.07146707242951,6.632159116662642,-5.71445564997412,-127.4644302181743,3.272903287037389,-1.4225034485732717,-114.91444007067787,2.216548725996076,-0.023210727674158438,-111.09814034025577,1.1958146022797653,-16.561397757872168,-124.20659141427838,99.73428142015717,-16.93816812374377,-125.38064977401847,109.09012887625785,-16.763063888631947,-125.55543044966518,118.52363515890623,-16.434199295723033,-125.03127092111622,127.94007585752809,-14.36820566271267,-119.5365146396316,136.21222251494694,-32.25684883432796,-120.65447340215933,142.7474399194339,-56.21729279940685,-110.99095668764426,134.21261416230197,-75.3564907760121,-103.2712843502448,127.39516916395405,-85.57513987988115,-103.45468086063855,129.0675085932924,-85.57513987988115,-103.45468086063855,129.0675085932924,-79.59170300331368,-99.90642232582857,125.81952438582142,-79.59170300331368,-99.90642232582857,125.81952438582142,-14.36820566271267,-119.5365146396316,136.21222251494694,-0.5938931430902166,-131.30851517330672,142.18304916516257,26.5641472563742,-132.85317811014156,141.56293701996032,47.920355133520374,-136.76752032411352,140.57799710806873,58.05761127773347,-137.44953266835455,142.58349953485975,58.05761127773347,-137.44953266835455,142.58349953485975,52.38969000613113,-133.7340217380021,138.97646420330986,52.38969000613113,-133.7340217380021,138.97646420330986,-15.657359450413326,-123.11390324189219,139.9568144719528,-14.748152084256954,-122.90721970606444,146.26031785098297,-14.585050780394555,-122.38655533990936,152.60900571152507,-16.791197822073443,-122.67400841720281,162.07926581593858
0.06666664,-14.9451,-120.52,88.5733,-24.375401113112318,-116.78114386498416,88.44896674746026,-25.34660795372278,-121.62832893098316,43.66186986656489,-26.15768639585366,-126.1746790344436,6.892144732190069,-26.06929470027014,-126.44187088665686,3.506341168386829,-27.391037854181025,-113.24586834241903,2.430467919551911,-27.825863588476906,-108.7614628792728,1.2718004156931553,-5.514798886887684,-124.25885613501583,88.69763325253975,-5.672495149495346,-125.48678427396086,43.655543856239014,-6.036649158144672,-127.06970584612893,6.632556603528705,-5.713615996632099,-127.46307280805259,3.273422435289791,-1.4260299562409546,-114.91168638264337,2.2159272313781617,-0.02796951274914794,-111.0947904379873,1.1957339915889946,-16.555322063994844,-124.2101410945242,99.7366229547267,-16.924890469285003,-125.38531164513356,109.09261803452937,-16.744423337059885,-125.56142169881288,118.52599852222727,-16.411334259656407,-125.04059193196659,127.94247549522419,-14.35196243361223,-119.54436680982305,136.21529748625082,-32.23801713313098,-120.7001122442527,142.75102641396944,-56.20980865972042,-111.03591814871538,134.24889465249242,-75.34720962062944,-103.2838185811849,127.46327506055448,-85.55875923792934,-103.45381436065973,129.17981192393114,-85.55875923792934,-103.45381436065973,129.17981192393114,-79.58447456809971,-99.91211075298708,125.90791413565334,-79.58447456809971,-99.91211075298708,125.90791413565334,-14.35196243361223,-119.54436680982305,136.21529748625082,-0.5595881191012868,-131.3045475068593,142.16769310326708,26.596658776708246,-132.90269539543684,141.60746202588018,47.95934804325206,-136.79567400477293,140.68008867153705,58.084230669528225,-137.47531866239885,142.7479324515261,58.084230669528225,-137.47531866239885,142.7479324515261,52.437264257376484,-133.75880983651496,139.10919786586902,52.437264257376484,-133.75880983651496,139.10919786586902,-15.63391713904831,-123.12482057686218,139.9594313753773,-14.738912237269544,-122.90466149202436,146.2645108492028,-14.591779450678645,-122.37098884025052,152.6125086762313,-16.795505027466827,-122.68453837302758,162.082504492445
0.07499997,-14.9507,-120.522,88.577,-24.388425924002178,-116.8018510549071,88.45491703746471,-25.35405020288824,-121.6355998820499,43.66624732247852,-26.159954849067304,-126.17607456279308,6.895682446007058,-26.07141412510576,-126.44376921861202,3.5099224926367154,-27.396000163719346,-113.24822068168467,2.431979082292437,-27.831831084264838,-108.76373983586213,1.2739811920753907,-5.512974075997823,-124.24214894509291,88.69908296253529,-5.674259499849132,-125.48210334246949,43.65733573938152,-6.038459656660333,-127.06998555862839,6.634561366390713,-5.71464791834472,-127.46375771575826,3.2755496372063235,-1.431612073474204,-114.91091630405394,2.216886421563441,-0.034840783855137,-111.0934063286933,1.1972249801928414,-16.551073105832124,-124.21566951946323,99.7405723309126,-16.91341100423227,-125.39191603459449,109.09671501609674,-16.72756463458146,-125.56931596269725,118.52996689203522,-16.39023724539028,-125.05177741836297,127.94647445323486,-14.33755650491239,-119.55404516254123,136.2199579050445,-32.220911319138864,-120.74778237751396,142.75624621646958,-56.204170112077264,-111.08327676957273,134.28687138564436,-75.33980212644511,-103.29906097294322,127.53310441215437,-85.54403166584267,-103.45583145424892,129.29386148751297,-85.54403166584267,-103.45583145424892,129.29386148751297,-79.57907575463493,-99.92057496774531,125.99805817880629,-79.57907575463493,-99.92057496774531,125.99805817880629,-14.33755650491239,-119.55404516254123,136.2199579050445,-0.5269606068222981,-131.30216153232206,142.15389888400148,26.627270229083834,-132.95350436996173,141.65340358642035,47.9963009374313,-136.82492317097095,140.78366825719934,58.108426059948734,-137.50217982681454,142.91378371970728,58.108426059948734,-137.50217982681454,142.91378371970728,52.48258663970232,-133.7847018476088,139.24345060275152,52.48258663970232,-133.7847018476088,139.24345060275152,-15.612250761319824,-123.13756090963977,139.96364126069557,-14.731582728049162,-122.90405505514018,146.27025919737048,-14.60069770609129,-122.35750822718076,152.61751739630762,-16.801693694851057,-122.69675102226853,162.0872624546418
